MW/Vehicle
0.00032
0.000204
0.000149
0.0000904
0.0000391
0.0000145
0.0000142
0.000014
0.0000138
0
0
0.0000131
0.000024
0.0000393
0.00009
0.0001989
0.000372
0.0004517
0.0005671
0.000607
0.0005956
0.0005642
0.0005107
0.0004149
