,Site1,Site2,Site3,Site4,Site5,Site6,Site7,Site8,Site9,Site10
60,5449.0,5278.5,5546.5,5908.0,5850.5,5976.5,5947.0,4449.5,5180.5,4856.0
61,5383.5,5193.5,5543.5,6041.5,6009.0,6144.0,6142.0,4484.0,5177.0,4848.0
62,5528.0,5365.5,5597.5,6090.5,6015.0,6229.0,6179.5,4497.0,5283.0,4846.0
63,5653.5,5466.5,5681.5,6020.0,5969.5,6011.5,6039.0,4669.0,5449.0,5068.0
64,5735.0,5555.0,5638.0,6068.0,6014.5,6177.0,6142.0,4663.5,5389.0,5091.0
65,5715.0,5567.5,5884.0,6125.0,6146.5,6135.5,6074.0,4707.5,5442.5,5047.0
66,5766.5,5559.5,5791.5,6173.5,6121.5,6242.0,6146.5,4793.5,5560.5,5055.0
67,5847.5,5672.5,5888.0,6312.5,6186.5,6248.0,6213.5,4822.0,5638.5,5146.5
68,5842.5,5714.5,5945.5,6385.0,6317.5,6404.0,6332.5,4841.5,5574.0,5122.0
69,5948.0,5796.0,5906.5,6280.0,6272.0,6364.5,6319.0,5035.5,5817.5,5243.0
70,5971.5,5836.0,5954.5,6246.0,6247.0,6400.5,6339.0,5125.0,5760.5,5332.5
71,6032.5,5841.0,6098.0,6404.5,6327.0,6432.5,6335.0,5132.0,5797.5,5347.0
72,6162.0,5967.0,6135.5,6475.0,6421.0,6501.5,6582.5,5132.0,5900.0,5422.0
73,6109.0,5895.5,6107.5,6487.0,6391.5,6634.5,6662.5,5105.5,5920.5,5486.0
74,6251.5,6001.0,6303.5,6541.5,6408.5,6566.5,6493.5,5261.0,6022.5,5560.0
75,6255.5,6025.5,6206.5,6658.0,6528.0,6686.5,6560.0,5356.0,6108.5,5667.0
76,6340.0,6116.0,6393.0,6729.0,6614.0,6737.0,6688.0,5388.5,6179.5,5662.0
77,6450.5,6156.5,6306.5,6724.0,6610.0,6861.0,6763.0,5500.0,6244.0,5804.0
78,6522.5,6264.0,6525.0,6900.5,6757.0,6878.0,6827.0,5465.0,6281.5,5831.5
79,6467.0,6244.0,6590.0,6776.0,6720.0,6874.0,6795.0,5656.5,6285.0,5796.5
80,6550.0,6303.0,6518.0,6908.0,6832.0,6928.5,6756.0,5696.0,6319.5,5918.5
81,6501.0,6332.0,6558.5,6989.0,6887.0,7066.0,7032.5,5662.5,6477.0,6008.5
82,6578.5,6285.0,6669.5,6966.5,6830.0,7065.5,6872.5,5671.5,6408.5,5988.0
83,6609.5,6345.5,6617.5,6907.0,6815.0,7014.0,6908.0,5779.5,6489.0,6037.5
84,6730.0,6480.0,6586.0,6991.0,6833.5,7026.0,6953.5,5815.0,6524.5,6118.0
85,6735.0,6495.5,6659.0,7037.0,6902.5,7123.5,7113.5,5847.5,6500.0,6259.5
86,6963.0,6664.0,6730.5,7104.5,7014.0,7122.5,7035.5,5951.5,6740.0,6334.5
87,6896.5,6679.5,6877.5,7169.5,7040.5,7222.0,7137.5,5989.5,6759.5,6430.0
88,7100.0,6722.0,6847.5,7193.0,7113.0,7338.5,7138.5,6128.0,6869.0,6376.5
89,7121.5,6741.5,7058.5,7297.5,7248.5,7277.0,7174.5,6156.0,6910.0,6476.0
90,7095.5,6792.5,6955.5,7291.5,7175.0,7371.0,7251.0,6318.5,6821.5,6579.5
91,7217.0,6777.5,7013.5,7344.5,7200.0,7364.0,7264.5,6228.0,6862.5,6618.0
92,7251.5,7002.0,7248.0,7390.5,7196.5,7356.0,7308.5,6331.5,6949.0,6647.5
93,7180.0,7091.0,7215.0,7582.5,7402.0,7599.5,7446.0,6316.5,7152.0,6753.5
94,7357.0,7037.5,7336.0,7610.0,7499.5,7663.5,7597.0,6377.0,7216.0,6767.0
95,7290.5,7015.5,7253.5,7550.5,7401.5,7598.5,7506.0,6515.5,7089.0,6828.0
96,7299.5,7096.5,7287.0,7736.5,7558.5,7686.5,7448.0,6540.5,7116.0,6781.5
97,7587.5,7237.0,7242.5,7585.5,7441.5,7667.0,7552.0,6564.0,7138.5,6945.5
98,7566.0,7148.5,7453.0,7738.0,7633.0,7751.0,7656.0,6608.5,7230.0,7037.0
99,7502.5,7214.5,7351.0,7740.0,7590.0,7794.5,7604.5,6678.0,7204.5,7043.5
100,7481.5,7269.0,7353.0,7764.0,7521.5,7754.0,7697.5,6735.5,7219.5,6955.0
101,7591.5,7366.0,7492.5,7806.5,7684.0,7805.0,7635.0,6757.0,7272.5,7008.5
102,7766.5,7315.5,7498.5,7883.0,7725.5,7883.5,7779.0,6901.0,7542.0,7229.0
103,7769.0,7533.0,7605.5,7898.0,7754.0,7975.5,7929.5,6926.0,7492.0,7210.0
104,7861.0,7506.5,7676.0,7972.5,7754.0,7960.5,7851.5,6945.5,7494.0,7299.5
105,7819.5,7630.5,7660.0,7989.0,7876.0,8029.5,7818.0,6968.5,7510.0,7331.0
106,7971.0,7639.5,7812.5,8101.5,7975.0,8084.5,7875.5,6974.0,7563.5,7414.0
107,8005.0,7615.5,7742.0,8125.0,7951.5,8154.0,8045.5,7141.5,7658.5,7359.5
108,8025.5,7634.0,7769.0,8040.5,7860.0,8090.5,8045.5,7163.5,7731.5,7468.5
109,8105.0,7646.5,7801.0,8132.5,7844.5,8170.0,8032.5,7230.0,7652.5,7566.5
110,8027.5,7581.0,7746.0,8103.0,7879.0,8198.0,7998.0,7299.0,7798.5,7540.0
111,7959.5,7783.0,7944.0,8137.0,7957.5,8194.0,8125.0,7410.0,7903.5,7729.0
112,8044.0,7946.5,7854.5,8354.0,8027.0,8188.5,8003.5,7376.0,7958.5,7770.0
113,8186.0,7824.0,7852.5,8129.0,7951.5,8128.5,7980.5,7497.5,7978.5,7753.0
114,8135.0,7919.0,7875.5,8174.0,8073.0,8275.5,8078.5,7468.0,7988.0,7700.0
115,8244.0,7808.5,7920.0,8164.5,8064.0,8177.5,8027.0,7428.0,7966.5,7825.0
116,8263.5,7860.5,7897.5,8249.0,7972.0,8289.0,8264.0,7446.5,7885.0,7813.5
117,8301.5,8039.5,7995.5,8222.5,8087.5,8207.5,8115.5,7514.0,8161.5,7906.5
118,8448.0,8069.0,8080.0,8434.0,8244.5,8375.0,8243.0,7622.0,8146.0,7983.5
119,8454.5,8092.5,8115.0,8502.5,8336.0,8411.0,8289.5,7603.5,8252.0,8069.5
120,8516.0,8193.0,8121.5,8525.5,8340.5,8517.0,8451.5,7706.0,8270.5,8125.5
121,8560.0,8199.0,8245.0,8651.5,8332.5,8581.0,8473.0,7687.5,8288.0,8114.0
122,8376.0,8150.5,8323.5,8666.5,8398.5,8524.5,8358.5,7871.5,8306.0,8143.0
123,8529.0,8184.5,8158.0,8488.0,8233.5,8647.0,8348.0,7860.0,8339.5,8235.5
124,8588.0,8173.5,8265.5,8563.5,8272.5,8511.5,8362.0,7878.0,8436.5,8173.0
125,8499.0,8270.0,8319.5,8560.5,8323.0,8490.0,8273.0,7912.0,8513.0,8191.0
126,8629.5,8291.5,8285.5,8557.5,8356.5,8521.5,8363.0,7932.0,8582.0,8320.0
127,8606.5,8287.0,8365.5,8664.0,8432.5,8520.0,8287.5,7979.0,8382.5,8298.5
128,8819.0,8300.0,8391.5,8720.0,8519.0,8723.0,8391.5,8007.0,8588.5,8326.5
129,8744.0,8331.5,8434.5,8707.0,8471.5,8596.0,8386.5,8092.5,8590.5,8378.0
130,8813.5,8471.0,8607.5,8750.5,8599.5,8699.5,8555.5,8063.0,8546.0,8371.0
131,8690.0,8330.0,8479.0,8762.5,8536.5,8783.5,8648.0,8209.5,8527.5,8441.0
132,8716.0,8376.5,8526.0,8809.5,8579.0,8803.5,8652.0,8110.0,8557.0,8496.0
133,8786.5,8309.5,8504.5,8774.5,8575.5,8768.5,8572.5,8065.0,8605.0,8444.5
134,8724.0,8320.0,8471.5,8855.5,8644.5,8950.0,8622.5,8102.0,8592.0,8404.5
135,9060.5,8331.5,8398.0,8676.0,8414.0,8704.5,8456.0,8159.0,8744.0,8535.5
136,9185.5,8505.5,8516.0,8777.5,8488.0,8641.0,8438.5,8236.0,8773.0,8568.5
137,9158.5,8517.5,8571.0,8742.0,8474.5,8721.5,8571.5,8244.5,8741.5,8602.5
138,8941.0,8630.0,8647.0,8793.5,8615.0,8827.0,8673.0,8351.5,8814.5,8616.0
139,8906.0,8693.5,8661.0,8904.0,8559.0,8818.5,8563.5,8293.0,8755.0,8727.0
140,9002.0,8690.5,8553.5,8929.0,8613.0,8886.0,8652.0,8326.0,8854.0,8586.0
141,9044.5,8822.0,8742.0,9003.0,8672.5,8880.5,8666.0,8395.5,8891.5,8847.5
142,8941.0,8684.5,8855.5,9033.0,8612.5,8832.5,8643.0,8447.5,8900.0,8724.5
143,8879.0,8595.0,8756.0,8990.5,8683.5,8854.5,8626.0,8460.5,8883.0,8827.5
144,8880.5,8526.5,8663.5,8918.0,8556.5,8909.0,8695.0,8504.0,8854.5,8809.0
145,8983.0,8577.0,8754.0,8830.5,8547.0,8851.0,8784.0,8424.5,8873.0,8712.5
146,9041.5,8686.5,8888.0,8966.5,8672.0,8824.0,8631.0,8412.5,8852.0,8703.5
147,9140.0,8871.5,8807.5,9054.5,8725.5,8985.0,8820.0,8431.5,9049.0,8772.0
148,9098.5,8736.0,8844.0,9054.5,8841.5,8988.0,8862.5,8558.5,9007.0,8822.5
149,9078.0,8754.5,8909.5,9077.0,8749.0,8977.5,8851.0,8481.0,9020.5,8789.0
150,9185.0,8866.5,8901.0,9122.5,8890.5,9029.5,8851.0,8511.0,9116.0,8853.5
151,9075.0,8825.0,8837.0,9230.0,8789.5,9130.5,8877.5,8558.5,9012.0,8899.5
152,9082.0,8799.0,8899.0,9246.0,8869.5,9153.5,8992.5,8516.5,9034.5,8838.0
153,9185.0,8857.5,8918.5,9276.5,8962.0,9339.0,9072.0,8603.0,9089.0,8944.5
154,9153.5,8848.0,8819.0,9241.0,8903.5,9318.5,9060.0,8655.5,9180.0,8974.0
155,9179.5,8806.0,8962.0,9111.0,8848.5,9127.0,9040.5,8635.5,9137.5,8889.5
156,9156.0,8779.0,8937.0,9132.5,8800.5,9236.5,8840.0,8639.0,9095.5,9002.5
157,9212.0,8944.0,8936.5,9095.0,8835.5,9104.5,8914.5,8754.0,9131.5,8966.5
158,9339.5,9090.0,8966.5,9125.5,8635.5,9029.0,8744.5,8679.0,9169.5,9052.5
159,9358.0,9115.5,9135.0,9221.5,8781.5,9162.0,8949.0,8731.5,9232.0,8950.0
