,Site1,Site2,Site3,Site4,Site5,Site6,Site7,Site8,Site9,Site10
0,1745.5,1330.9722222222222,1401.5833333333333,816.1944444444445,986.0277777777778,565.25,537.5555555555555,1391.138888888889,1436.888888888889,1493.2777777777778
1,1520.75,1773.8055555555557,1796.2222222222222,966.6388888888889,1339.5555555555557,823.0277777777778,866.5555555555555,1422.3333333333333,1320.5555555555557,1211.3055555555557
2,2429.3611111111113,2122.4166666666665,2310.6944444444443,1612.9444444444443,2601.1111111111113,1194.0833333333333,1272.1944444444443,2044.388888888889,1824.8055555555557,1668.75
3,3189.5555555555557,2235.9166666666665,1731.3333333333333,1235.638888888889,2114.75,964.9444444444445,929.0833333333334,2656.277777777778,2100.6944444444443,1678.5277777777778
4,581.2222222222222,411.1111111111111,1042.4444444444443,536.1944444444445,569.6388888888889,631.75,801.6111111111111,2288.4444444444443,674.5277777777778,1205.5555555555557
5,2229.6666666666665,1324.4166666666667,1444.5555555555557,869.7777777777778,1171.638888888889,292.8611111111111,275.1666666666667,2353.0555555555557,2084.3611111111113,1491.9444444444443
6,2091.8055555555557,981.6666666666666,895.75,304.44444444444446,1219.5,327.0,340.1111111111111,2809.3611111111113,2051.5833333333335,1731.5555555555557
7,2487.0,1946.4722222222222,1380.3055555555557,668.1666666666666,1338.4166666666667,359.8333333333333,423.27777777777777,2925.6388888888887,1978.5277777777778,2166.722222222222
8,1189.888888888889,577.4444444444445,653.1111111111111,281.9166666666667,684.0,236.22222222222223,240.77777777777777,3457.5555555555557,1416.8333333333333,2134.0833333333335
9,433.8888888888889,399.25,605.1111111111111,736.8611111111111,1025.25,1130.3333333333333,1091.638888888889,647.6944444444445,471.4166666666667,807.1666666666666
10,1134.9722222222222,559.5,249.44444444444446,250.55555555555554,767.7222222222222,301.30555555555554,441.30555555555554,2341.972222222222,1293.8055555555557,1350.7222222222222
11,382.47222222222223,422.6388888888889,511.30555555555554,593.1388888888889,583.1388888888889,613.1111111111111,827.1944444444445,1014.6944444444445,353.05555555555554,745.2777777777778
12,274.5833333333333,114.66666666666667,91.61111111111111,356.05555555555554,436.47222222222223,485.02777777777777,873.0,963.8333333333334,327.44444444444446,274.77777777777777
13,1716.7777777777778,1303.1944444444443,771.8333333333334,940.5833333333334,1128.25,1420.3333333333333,1430.111111111111,1868.888888888889,1335.8055555555557,1054.75
14,901.8888888888889,532.4444444444445,542.3055555555555,283.9166666666667,1206.0277777777778,265.0833333333333,369.02777777777777,1126.0555555555557,499.30555555555554,725.4166666666666
15,1119.3333333333333,877.4166666666666,718.5833333333334,372.4166666666667,1651.9722222222222,411.1388888888889,402.22222222222223,1668.888888888889,1100.0277777777778,1257.361111111111
16,1254.8333333333333,1087.6944444444443,949.75,860.8333333333334,1147.611111111111,931.3055555555555,903.0833333333334,1624.4444444444443,1361.111111111111,968.2222222222222
17,1061.861111111111,483.6111111111111,391.8888888888889,246.19444444444446,356.3611111111111,352.80555555555554,543.0277777777778,878.9722222222222,1218.3055555555557,1240.9166666666667
18,1038.3333333333333,1441.4166666666667,1217.2777777777778,520.3055555555555,789.5,582.1666666666666,576.0277777777778,961.5277777777778,1011.1111111111111,928.9722222222222
19,1082.5833333333333,1071.5,702.9722222222222,408.1666666666667,460.8888888888889,294.6111111111111,321.30555555555554,1155.4444444444443,952.4166666666666,1161.4722222222222
20,933.8611111111111,847.1666666666666,808.1944444444445,833.5,913.9444444444445,806.75,699.25,1061.0833333333333,1014.2222222222222,1513.9722222222222
21,1034.25,806.5277777777778,966.1666666666666,861.6944444444445,734.0833333333334,769.8611111111111,652.1111111111111,1200.611111111111,807.4722222222222,1535.611111111111
22,1449.4722222222222,1400.8333333333333,1479.2777777777778,1091.3055555555557,1453.7777777777778,538.4166666666666,494.3333333333333,1456.1666666666667,1537.861111111111,1833.138888888889
23,1775.9722222222222,1921.2777777777778,2670.5,2008.6666666666667,2795.6111111111113,2065.6666666666665,1489.9444444444443,1286.5555555555557,2004.3333333333333,1389.75
24,962.9444444444445,708.0833333333334,1225.7777777777778,531.7777777777778,1183.8333333333333,590.2777777777778,663.4166666666666,2206.25,1675.638888888889,1417.3055555555557
25,2089.0555555555557,1032.6944444444443,1680.25,726.3888888888889,1853.611111111111,784.3611111111111,690.3055555555555,2871.25,1992.2222222222222,2119.5555555555557
26,1708.0277777777778,1038.888888888889,1157.0,440.97222222222223,1116.5555555555557,543.3611111111111,680.0277777777778,2824.222222222222,1853.25,2133.1944444444443
27,1002.0,540.2777777777778,611.5833333333334,794.25,1357.75,566.8333333333334,534.0833333333334,1881.861111111111,1301.3055555555557,1608.638888888889
28,450.72222222222223,413.44444444444446,271.1388888888889,305.3888888888889,2299.3888888888887,439.44444444444446,483.77777777777777,1949.75,840.8611111111111,1114.4444444444443
29,415.44444444444446,422.1388888888889,271.8611111111111,327.25,589.3055555555555,476.22222222222223,698.6388888888889,2204.3055555555557,1021.8611111111111,1351.8333333333333
30,1664.2777777777778,1503.2777777777778,1163.638888888889,1093.0833333333333,1294.861111111111,1246.638888888889,1409.0833333333333,1591.388888888889,1919.111111111111,1776.861111111111
31,595.9444444444445,291.1666666666667,312.47222222222223,184.05555555555554,701.7777777777778,119.75,233.22222222222223,2134.0555555555557,884.5833333333334,1321.111111111111
32,329.75,242.19444444444446,378.5833333333333,566.1111111111111,720.1111111111111,751.0833333333334,1256.2222222222222,1124.0555555555557,576.8055555555555,947.5
33,340.44444444444446,268.6666666666667,348.25,525.7777777777778,850.8055555555555,407.94444444444446,464.9166666666667,1555.361111111111,548.8888888888889,550.5555555555555
34,1023.1666666666666,391.1111111111111,329.1388888888889,334.8611111111111,1088.861111111111,319.9166666666667,406.3333333333333,818.2777777777778,861.5,612.1111111111111
35,734.0,485.19444444444446,351.72222222222223,362.1666666666667,788.6388888888889,667.0555555555555,780.4722222222222,1182.1944444444443,854.8333333333334,838.75
36,690.5833333333334,725.75,509.4166666666667,577.0277777777778,952.5555555555555,345.3333333333333,409.8611111111111,1415.8055555555557,899.3611111111111,867.0277777777778
37,1281.638888888889,933.6944444444445,884.0277777777778,699.5,1214.8333333333333,504.5833333333333,540.5277777777778,1560.25,1243.1944444444443,885.7777777777778
38,1914.2777777777778,1337.1666666666667,1451.75,863.75,1031.0,680.9166666666666,692.7777777777778,1435.5833333333333,1738.9444444444443,1461.6666666666667
39,959.3055555555555,1064.8055555555557,1087.388888888889,390.94444444444446,614.0833333333334,373.5833333333333,402.55555555555554,1183.6944444444443,1389.388888888889,1097.1666666666667
40,1275.0555555555557,1836.1944444444443,1528.6666666666667,762.5277777777778,1071.0833333333333,633.5833333333334,548.7777777777778,1114.5833333333333,1312.9722222222222,1716.3333333333333
41,853.4166666666666,880.0555555555555,874.2777777777778,367.5833333333333,560.1388888888889,464.75,405.75,1488.7222222222222,973.4166666666666,1300.611111111111
42,598.6666666666666,672.1944444444445,924.6111111111111,475.1388888888889,452.6388888888889,296.25,423.27777777777777,1406.9444444444443,638.0833333333334,1089.388888888889
43,955.6111111111111,919.8611111111111,934.7777777777778,418.1388888888889,599.2222222222222,461.6388888888889,537.7777777777778,1114.5,833.5,793.6944444444445
44,1793.6666666666667,1382.8055555555557,1589.638888888889,675.0277777777778,691.4722222222222,452.19444444444446,537.6111111111111,2772.0555555555557,1377.111111111111,2163.9444444444443
45,833.9722222222222,1141.6666666666667,1490.6666666666667,524.2222222222222,1975.0555555555557,444.72222222222223,493.3888888888889,1906.0555555555557,760.8888888888889,1273.5
46,1557.0555555555557,1181.9166666666667,1117.111111111111,615.7222222222222,1176.7777777777778,632.8888888888889,673.6111111111111,2814.5833333333335,1680.4722222222222,1909.5
47,1780.611111111111,893.5555555555555,998.8055555555555,234.66666666666666,978.3333333333334,203.80555555555554,230.97222222222223,2401.75,1329.25,1156.138888888889
48,1545.4444444444443,1201.5833333333333,754.3055555555555,537.6944444444445,1583.138888888889,336.6111111111111,422.3611111111111,2520.3333333333335,1920.388888888889,2121.5
49,321.3333333333333,265.5833333333333,185.63888888888889,260.47222222222223,1202.8333333333333,337.4166666666667,331.6666666666667,2103.3611111111113,1060.5,1539.0
50,425.69444444444446,410.3611111111111,549.3611111111111,421.25,1284.638888888889,488.05555555555554,647.4166666666666,2061.25,805.1666666666666,1057.4444444444443
51,678.4722222222222,489.9166666666667,594.1111111111111,854.6666666666666,943.6944444444445,789.5,1165.75,1013.2777777777778,764.2222222222222,1338.4166666666667
