Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,174608,-,-,-,42.13,-121.78,-8,1241,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2017,1,1,0,0,0,0,0,0,0,0,0,-7,160.71,0,0.866,1.4000000000000001,0.383,261.1,92.23,-5,860.0
2017,1,1,0,30,0,0,0,0,0,0,0,-7,160.42000000000002,0,0.866,1.4000000000000001,0.34500000000000003,261.1,92.21000000000001,-5,860.0
2017,1,1,1,0,0,0,0,0,0,0,1,-6,158.26,0,0.866,1.4000000000000001,0.308,255.8,94.24,-5,860.0
2017,1,1,1,30,0,0,0,0,0,0,1,-6,154.71,0,0.866,1.3,0.296,255.8,87.34,-5,860.0
2017,1,1,2,0,0,0,0,0,0,0,1,-6,150.28,0,0.866,1.3,0.28500000000000003,261.6,92.11,-5,860.0
2017,1,1,2,30,0,0,0,0,0,0,1,-6,145.32,0,0.866,1.2000000000000002,0.28500000000000003,261.6,92.09,-4,860.0
2017,1,1,3,0,0,0,0,0,0,0,1,-5,140.06,0,0.866,1.2000000000000002,0.28600000000000003,272.1,94.34,-4,860.0
2017,1,1,3,30,0,0,0,0,0,0,4,-5,134.62,0,0.866,1.2000000000000002,0.296,272.1,94.32000000000001,-4,860.0
2017,1,1,4,0,0,0,0,0,0,0,4,-5,129.09,0,0.866,1.3,0.307,276.3,92.97,-4,860.0
2017,1,1,4,30,0,0,0,0,0,0,4,-5,123.53,0,0.866,1.2000000000000002,0.32,276.3,92.94,-4,860.0
2017,1,1,5,0,0,0,0,0,0,0,4,-6,117.98,0,0.866,1.2000000000000002,0.334,267.3,90.97,-4,860.0
2017,1,1,5,30,0,0,0,0,0,0,4,-6,112.49000000000001,0,0.866,1.2000000000000002,0.34500000000000003,267.3,90.94,-4,860.0
2017,1,1,6,0,0,0,0,0,0,0,4,-6,107.08,0,0.866,1.2000000000000002,0.357,254.3,90.72,-4,860.0
2017,1,1,6,30,0,0,0,0,0,0,4,-6,101.8,0,0.866,1.3,0.372,254.3,90.68,-4,860.0
2017,1,1,7,0,0,0,0,0,0,0,4,-6,96.67,0,0.866,1.5,0.388,244.10000000000002,91.64,-4,860.0
2017,1,1,7,30,0,0,0,0,0,0,4,-6,91.74,0,0.866,1.7000000000000002,0.40900000000000003,244.10000000000002,84.96000000000001,-4,860.0
2017,1,1,8,0,9,0,9,21,314,37,8,-5,87.04,4,0.866,2.0,0.43,234.20000000000002,87.99,-4,860.0
2017,1,1,8,30,28,0,28,37,554,108,8,-5,82.64,4,0.866,2.2,0.446,234.20000000000002,87.98,-3,860.0
2017,1,1,9,0,47,0,47,55,643,182,8,-5,78.58,4,0.866,2.5,0.462,236.4,89.93,-3,860.0
2017,1,1,9,30,67,0,67,65,731,256,8,-5,74.92,4,0.866,2.7,0.46900000000000003,236.4,83.44,-2,860.0
2017,1,1,10,0,83,0,83,79,766,319,8,-5,71.75,4,0.866,2.9000000000000004,0.47600000000000003,243.4,83.8,-2,860.0
2017,1,1,10,30,97,0,97,85,807,373,8,-5,69.11,0,0.866,3.0,0.47900000000000004,243.4,77.78,-1,860.0
2017,1,1,11,0,145,16,151,95,817,413,8,-5,67.09,0,0.866,3.3000000000000003,0.483,252.5,76.37,-1,860.0
2017,1,1,11,30,178,71,207,98,834,441,8,-5,65.74,0,0.866,3.3000000000000003,0.48,252.5,76.33,-1,860.0
2017,1,1,12,0,147,8,150,104,828,452,8,-6,65.1,0,0.866,3.4000000000000004,0.47700000000000004,265.3,72.64,-1,860.0
2017,1,1,12,30,164,382,324,104,828,451,8,-6,65.2,0,0.866,3.4000000000000004,0.468,265.3,72.62,-1,860.0
2017,1,1,13,0,149,431,324,94,843,437,8,-6,66.03,0,0.866,3.4000000000000004,0.46,277.1,69.41,-1,850.0
2017,1,1,13,30,162,65,187,91,825,405,8,-6,67.56,0,0.866,3.3000000000000003,0.447,277.1,69.4,-1,850.0
2017,1,1,14,0,149,156,203,82,808,362,8,-7,69.75,0,0.866,3.2,0.434,281.7,70.35000000000001,-2,850.0
2017,1,1,14,30,130,135,171,75,763,304,8,-7,72.54,4,0.866,2.8000000000000003,0.429,281.7,70.34,-2,850.0
2017,1,1,15,0,103,125,133,65,704,237,8,-7,75.85000000000001,4,0.866,2.5,0.424,280.1,70.16,-2,850.0
2017,1,1,15,30,73,101,91,53,602,162,4,-7,79.61,4,0.866,2.0,0.421,280.1,75.58,-3,850.0
2017,1,1,16,0,41,66,48,38,441,85,4,-7,83.77,4,0.866,1.6,0.419,271.2,82.25,-4,850.0
2017,1,1,16,30,12,0,12,16,152,21,8,-7,88.25,4,0.866,1.4000000000000001,0.41600000000000004,271.2,82.24,-4,850.0
2017,1,1,17,0,0,0,0,0,0,0,8,-7,93.02,0,0.866,1.2000000000000002,0.41400000000000003,259.0,87.8,-5,850.0
2017,1,1,17,30,0,0,0,0,0,0,4,-7,98.01,0,0.866,1.2000000000000002,0.41400000000000003,259.0,87.8,-5,850.0
2017,1,1,18,0,0,0,0,0,0,0,8,-7,103.18,0,0.866,1.3,0.41400000000000003,247.8,88.85000000000001,-5,850.0
2017,1,1,18,30,0,0,0,0,0,0,8,-7,108.5,0,0.866,1.3,0.417,247.8,88.85000000000001,-5,850.0
2017,1,1,19,0,0,0,0,0,0,0,8,-7,113.93,0,0.866,1.3,0.42,238.9,90.74,-5,850.0
2017,1,1,19,30,0,0,0,0,0,0,8,-7,119.44,0,0.866,1.4000000000000001,0.422,238.9,90.74,-5,850.0
2017,1,1,20,0,0,0,0,0,0,0,8,-7,124.99000000000001,0,0.866,1.5,0.424,234.8,91.95,-5,850.0
2017,1,1,20,30,0,0,0,0,0,0,8,-7,130.55,0,0.866,1.5,0.419,234.8,85.23,-5,850.0
2017,1,1,21,0,0,0,0,0,0,0,8,-6,136.05,0,0.866,1.6,0.41500000000000004,234.0,85.91,-5,850.0
2017,1,1,21,30,0,0,0,0,0,0,4,-6,141.45000000000002,0,0.866,1.6,0.401,234.0,85.91,-5,850.0
2017,1,1,22,0,0,0,0,0,0,0,8,-7,146.64000000000001,0,0.866,1.6,0.387,239.4,84.25,-5,850.0
2017,1,1,22,30,0,0,0,0,0,0,8,-7,151.48,0,0.866,1.5,0.376,239.4,84.24,-5,850.0
2017,1,1,23,0,0,0,0,0,0,0,8,-8,155.70000000000002,0,0.866,1.4000000000000001,0.366,242.3,85.74,-5,850.0
2017,1,1,23,30,0,0,0,0,0,0,8,-8,158.92000000000002,0,0.866,1.2000000000000002,0.367,242.3,85.73,-5,850.0
2017,1,2,0,0,0,0,0,0,0,0,8,-8,160.61,0,0.866,1.2000000000000002,0.369,239.3,82.81,-5,850.0
2017,1,2,0,30,0,0,0,0,0,0,8,-8,160.35,0,0.866,1.0,0.371,239.3,82.82000000000001,-5,850.0
2017,1,2,1,0,0,0,0,0,0,0,8,-8,158.22,0,0.866,0.9,0.374,233.20000000000002,87.9,-6,850.0
2017,1,2,1,30,0,0,0,0,0,0,8,-8,154.70000000000002,0,0.866,0.9,0.379,233.20000000000002,87.91,-6,850.0
2017,1,2,2,0,0,0,0,0,0,0,8,-8,150.29,0,0.866,0.9,0.384,230.70000000000002,86.78,-6,850.0
2017,1,2,2,30,0,0,0,0,0,0,8,-8,145.34,0,0.866,0.9,0.39,230.70000000000002,86.79,-6,850.0
2017,1,2,3,0,0,0,0,0,0,0,8,-8,140.08,0,0.866,1.0,0.397,226.70000000000002,85.83,-6,850.0
2017,1,2,3,30,0,0,0,0,0,0,8,-8,134.65,1,0.866,0.9,0.401,226.70000000000002,85.83,-6,850.0
2017,1,2,4,0,0,0,0,0,0,0,8,-9,129.12,0,0.866,0.9,0.405,218.8,85.4,-6,860.0
2017,1,2,4,30,0,0,0,0,0,0,8,-9,123.56,0,0.866,1.0,0.40900000000000003,218.8,85.4,-6,860.0
2017,1,2,5,0,0,0,0,0,0,0,8,-8,118.02,0,0.866,1.1,0.41300000000000003,207.9,86.06,-6,860.0
2017,1,2,5,30,0,0,0,0,0,0,8,-8,112.52,0,0.866,1.2000000000000002,0.41400000000000003,207.9,86.06,-6,860.0
2017,1,2,6,0,0,0,0,0,0,0,8,-8,107.11,0,0.866,1.3,0.41600000000000004,200.3,88.34,-6,860.0
2017,1,2,6,30,0,0,0,0,0,0,8,-8,101.82000000000001,0,0.866,1.4000000000000001,0.41400000000000003,200.3,81.84,-6,860.0
2017,1,2,7,0,0,0,0,0,0,0,8,-8,96.69,0,0.866,1.5,0.41200000000000003,196.20000000000002,84.56,-6,860.0
2017,1,2,7,30,0,0,0,0,0,0,8,-8,91.75,0,0.866,1.7000000000000002,0.41100000000000003,196.20000000000002,84.57000000000001,-5,860.0
2017,1,2,8,0,11,0,11,23,236,35,4,-7,87.04,4,0.866,2.0,0.41000000000000003,195.70000000000002,87.13,-5,860.0
2017,1,2,8,30,33,0,33,42,486,105,8,-7,82.63,4,0.866,2.2,0.40900000000000003,195.70000000000002,80.78,-4,860.0
2017,1,2,9,0,58,0,58,54,648,183,8,-7,78.56,4,0.866,2.4000000000000004,0.40900000000000003,198.20000000000002,81.16,-4,860.0
2017,1,2,9,30,81,0,81,65,737,257,8,-7,74.9,4,0.866,2.5,0.41000000000000003,198.20000000000002,75.28,-3,860.0
2017,1,2,10,0,102,0,102,71,805,323,6,-8,71.71000000000001,4,0.866,2.6,0.41200000000000003,201.5,73.04,-3,860.0
2017,1,2,10,30,119,0,119,76,843,378,8,-8,69.06,0,0.866,2.6,0.417,201.5,73.03,-3,860.0
2017,1,2,11,0,125,0,125,82,863,419,8,-8,67.03,0,0.866,2.6,0.423,203.0,72.32000000000001,-3,860.0
2017,1,2,11,30,160,24,170,85,878,447,8,-8,65.67,0,0.866,2.6,0.428,203.0,67.11,-2,860.0
2017,1,2,12,0,164,23,174,89,875,459,8,-8,65.02,1,0.866,2.6,0.434,202.20000000000002,67.41,-2,860.0
2017,1,2,12,30,19,0,19,89,873,457,8,-8,65.1,0,0.866,2.4000000000000004,0.443,202.20000000000002,67.41,-2,860.0
2017,1,2,13,0,95,0,95,89,856,439,8,-7,65.92,0,0.866,2.3000000000000003,0.452,200.60000000000002,69.41,-2,860.0
2017,1,2,13,30,165,77,195,86,837,407,8,-7,67.45,0,0.866,2.1,0.464,200.60000000000002,69.41,-2,860.0
2017,1,2,14,0,11,0,11,83,798,361,8,-7,69.63,0,0.866,2.0,0.47700000000000004,202.70000000000002,72.87,-2,860.0
2017,1,2,14,30,9,0,9,76,752,303,8,-7,72.41,4,0.866,1.8,0.486,202.70000000000002,72.88,-2,860.0
2017,1,2,15,0,7,0,7,68,678,235,4,-6,75.71000000000001,4,0.866,1.6,0.496,211.0,76.77,-3,860.0
2017,1,2,15,30,5,0,5,56,575,161,8,-6,79.48,4,0.866,1.3,0.494,211.0,76.8,-3,860.0
2017,1,2,16,0,2,0,2,39,415,85,8,-6,83.63,4,0.866,1.1,0.493,218.8,83.58,-3,860.0
2017,1,2,16,30,0,0,0,17,136,22,8,-6,88.11,4,0.866,1.0,0.486,218.8,83.61,-3,860.0
2017,1,2,17,0,0,0,0,0,0,0,8,-6,92.88,0,0.866,0.9,0.48,221.70000000000002,88.12,-4,860.0
2017,1,2,17,30,0,0,0,0,0,0,8,-6,97.87,0,0.866,0.8,0.47600000000000003,221.70000000000002,88.14,-4,860.0
