Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,198250,-,-,-,44.05,-117.34,-7,799,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2003,1,1,0,0,0,0,0,0,0,0,7,-6,156.35,0,0.866,2.0,0.518,285.90000000000003,94.25,-5,920.0
2003,1,1,0,30,0,0,0,0,0,0,7,-6,158.46,0,0.866,1.9000000000000001,0.529,285.90000000000003,94.28,-5,920.0
2003,1,1,1,0,0,0,0,0,0,0,4,-6,158.92000000000002,0,0.866,1.8,0.54,289.40000000000003,94.17,-5,920.0
2003,1,1,1,30,0,0,0,0,0,0,0,-6,157.62,0,0.866,1.7000000000000002,0.554,289.40000000000003,94.19,-5,920.0
2003,1,1,2,0,0,0,0,0,0,0,0,-6,154.83,0,0.866,1.6,0.5700000000000001,294.0,93.54,-5,920.0
2003,1,1,2,30,0,0,0,0,0,0,0,-6,151.01,0,0.866,1.5,0.592,294.0,93.56,-5,920.0
2003,1,1,3,0,0,0,0,0,0,0,1,-7,146.51,0,0.866,1.5,0.614,300.3,99.29,-5,920.0
2003,1,1,3,30,0,0,0,0,0,0,1,-7,141.59,0,0.866,1.4000000000000001,0.635,300.3,99.29,-5,920.0
2003,1,1,4,0,0,0,0,0,0,0,4,-7,136.43,0,0.866,1.4000000000000001,0.657,308.1,97.29,-6,920.0
2003,1,1,4,30,0,0,0,0,0,0,0,-7,131.13,0,0.866,1.3,0.683,308.1,97.29,-6,920.0
2003,1,1,5,0,0,0,0,0,0,0,7,-7,125.75,0,0.866,1.3,0.709,313.0,95.72,-6,920.0
