,PGE_valley,SCE
0,62203.544077730665,9942.889634801795
1,55304.36994579829,8803.207720488113
2,54792.44074623093,4534.168159201157
3,60036.852090156346,2359.978108917318
4,60070.27838126516,0.0
5,52468.47775873516,0.0
6,58867.68086517327,7376.571497015025
7,49347.94069830391,5214.349481174453
8,46165.246539794185,8875.012994707104
9,38104.742117532514,10604.357677016007
10,34613.30962835396,15504.690057482858
11,28165.811940357966,15153.862732868973
12,27614.6931217177,10354.618678701743
13,28207.54403943697,8250.496030002756
14,27081.13088228975,5455.407065628354
15,18074.02145910592,3021.820155919014
16,25789.553907429254,8312.715466537862
17,26659.689967527025,2978.883931468658
18,18201.25164738765,2089.007628301623
19,24742.919657470768,3791.510967708063
20,30000.692519986722,4518.805305370745
21,32273.96785078646,8192.329538430293
22,41059.86510962508,6471.600623536344
23,43552.16980676812,2485.7158241319266
24,42998.71956051068,7858.511032180337
25,43486.0355289132,3939.6681098387066
26,42370.81537927276,2387.1742719598474
27,41011.35202564158,2209.4195777750897
28,37330.04321542126,4287.973673481774
29,35318.33009385064,0.0
30,32669.563271650077,4490.632444241233
31,27001.23405530703,0.0
32,27961.458428781832,0.0
33,36847.75997522763,643.9252844278317
34,37820.42346034069,3730.516360221902
35,41955.5794115039,5193.698643430203
36,26727.865340432898,1867.9459132071436
37,32573.668226285903,2770.7941974459277
38,24488.041945408862,3528.0926082890464
39,29058.381134561212,3044.914521318928
40,23053.957500263674,2816.8565648201807
41,30211.163731952718,4043.388907643617
42,22447.631023884947,5469.915323668694
43,26562.316868874226,5676.5253787907095
44,28789.814860452276,1664.2487718114044
45,21110.274617042982,932.3926107716452
46,18568.423483819806,6002.302323402873
47,21064.20188999117,0.0
48,18067.285362887458,3152.732481804672
49,18138.792872281836,5134.109982012495
50,15882.179807647606,2817.074813366775
51,25049.23934435429,923.6632553423883
52,16476.654252731598,5122.1891418634295
53,21324.703539711754,7080.887965706537
54,25662.119658084215,5646.78662436507
55,19702.813726278993,11175.017693333835
56,27389.966294125603,10312.567381766723
57,24221.1693663299,8461.35262436527
58,20845.41666956789,3748.6193984031474
59,24407.322549583067,10390.536836101992
60,30810.04986961348,3522.9263374367674
61,34260.48457157618,11485.199640500981
62,33920.090479285245,9931.413310108812
63,40466.00106316042,6268.113372589838
64,40598.07835193259,13370.205149919206
65,39967.51065339441,12832.14191214028
66,41402.85236470352,14293.610514929176
67,62157.47248308014,12964.357090745983
68,48391.42291063897,11248.133159099041
69,47235.1786543877,11974.686371642096
70,54183.68109795914,15946.567456673669
71,41253.377495878594,12319.714624547923
72,43816.40593901214,14301.399408632831
73,59080.46253581329,14889.661465088393
74,46438.51005836708,9408.2798111392
75,51901.41031332798,11558.446689511617
76,57956.73426956888,12566.233870081289
77,57228.23139047267,10942.264419836541
78,56455.11672165494,14164.772098675108
79,56453.28519729748,11557.561462042091
80,60567.23325920941,14299.85583626914
81,54308.8366915894,14751.40587884974
82,58818.32900366509,9020.855528921797
83,52418.939201929956,12284.705382965558
84,46539.60244665446,8568.11508072995
85,53864.307785453115,5414.515784188548
86,51354.03678269888,8840.384708447353
87,51753.85662417941,6379.555005017027
88,55106.64130658535,7131.379956416401
89,53198.99949126255,8723.969847656354
90,51167.365921917364,8195.337128890167
91,46768.46291403922,9859.579127929279
92,53859.01233416307,8388.020891215328
93,48252.760894530446,7094.070193248801
94,44790.52110763482,3798.2193473786383
95,42238.69725933697,1001.1732239419671
96,44689.62470595755,5298.627465655461
97,47334.78525487139,4502.348984635384
98,42834.82738831739,5818.642207610437
99,40117.26917387794,883.0930073231102
100,40032.14247043077,2008.831099504443
101,38186.13949298512,68.86287032321525
102,42285.772275919255,0.0
103,36605.59266617313,2922.0912713081434
104,43819.77288934152,8084.209949818784
105,50315.484301402386,6063.80572779262
106,44939.82822626176,0.0
107,49350.56055165088,7047.84195091717
108,42570.30590599471,2634.995789184998
109,44737.31597736555,4746.254098365718
110,46626.219409187484,5476.702013673685
111,45010.03554691395,7365.901798826539
112,38928.29290861251,5238.297868871637
113,35288.668695926644,1613.672777663931
114,39900.48830554419,7568.273169730564
115,31427.428854095466,1427.010888656716
116,34932.838236890704,0.0
117,32764.504839218804,2212.497191420027
118,39348.37568437002,6393.3350985232355
119,38112.11534327439,3664.950593419033
120,47394.309838764,10005.03011183772
121,39716.085359579796,6476.609638420354
122,45085.86401984287,12592.31432723316
123,46341.068797103224,3776.6224334792496
124,49547.875700322285,10836.29881510948
125,38487.47183013437,6002.783011187472
126,50576.56732834884,7094.946013624711
127,41348.20357230744,10237.769153835245
128,46805.09291179462,9927.22849290747
129,46310.264120479915,5256.038124863306
130,44259.53624410774,10012.569863629185
