,index,PNW
0,31025,128070.10064776175
1,31026,110778.36398208156
2,31027,115396.31969906896
3,31028,114609.66387557407
4,31029,116201.02086880736
5,31030,113677.56235928528
6,31031,115867.01597208038
7,31032,111014.76262925268
8,31033,109818.39958261698
9,31034,110964.10522295386
10,31035,110939.58612525518
11,31036,113022.27626790307
12,31037,104631.52848589577
13,31038,102741.48147915737
14,31039,105153.17338525856
15,31040,109343.83494718536
16,31041,114498.58864237042
17,31042,117810.0619229844
18,31043,106646.69859570879
19,31044,127517.61267792474
20,31045,167910.1740361391
21,31046,167009.9112619721
22,31047,174630.3949100175
23,31048,162120.61252085536
24,31049,172308.0682028495
25,31050,185432.0678105375
26,31051,178560.9506799941
27,31052,179362.31581622234
28,31053,179510.75842765888
29,31054,183826.86097116373
30,31055,180200.86826608094
31,31056,187730.40371384332
32,31057,172151.810588367
33,31058,161523.96203386495
34,31059,141783.27617228476
35,31060,144004.61136531184
36,31061,151217.9469717613
37,31062,149970.4613506033
38,31063,149592.98030966386
39,31064,148393.7071138704
40,31065,146404.06734796465
41,31066,161249.14583027034
42,31067,161138.4515780502
43,31068,157918.9696770907
44,31069,162926.79870835278
45,31070,167215.75612660276
46,31071,158589.58310064737
47,31072,145337.54617354064
48,31073,139428.29207539116
49,31074,147044.06693328585
50,31075,145119.64996034876
51,31076,147695.39852932515
52,31077,143576.38683927633
53,31078,145316.232912757
54,31079,146601.32136545333
55,31080,143546.63891674537
56,31081,147963.81700488873
57,31082,149080.17827650358
58,31083,136411.88427459134
59,31084,161204.883466336
60,31085,102819.13872290347
61,31086,105888.73954763799
62,31087,106518.90154280068
63,31088,109094.64771528661
64,31089,116323.44294543136
65,31090,110871.42930055365
66,31091,106911.90899071244
67,31092,107526.87842106386
68,31093,106715.83587875078
69,31094,106451.4538465572
70,31095,116527.08124715797
71,31096,116232.90096694096
72,31097,111987.42752851587
73,31098,116734.28373566453
74,31099,124866.46149332925
75,31100,144705.1941241962
76,31101,209252.3754811483
77,31102,206559.67124210348
78,31103,203347.28987187106
79,31104,202095.07503101818
80,31105,204350.03967694234
81,31106,200170.6983637666
82,31107,189723.12550785468
83,31108,139094.0873119003
84,31109,139670.29996009177
85,31110,142049.2753238531
86,31111,138706.65243337015
87,31112,138215.48746373947
88,31113,145084.43231145013
89,31114,165608.62942679395
90,31115,149362.0807332236
91,31116,165935.20707723213
92,31117,157111.64940187035
93,31118,151884.53940830755
94,31119,157043.24061072947
95,31120,143490.26348233235
96,31121,140610.46963413554
97,31122,146545.86092363822
98,31123,157791.15942809693
99,31124,174133.74528974545
100,31125,185210.1944834796
101,31126,187878.6947310551
102,31127,188168.83886855512
103,31128,185019.45388741375
104,31129,180584.08739870822
105,31130,161465.62926316317
106,31131,167029.16995493497
107,31132,166687.48724237032
108,31133,161221.7314635594
109,31134,153443.00136344088
110,31135,154702.96658796474
111,31136,161671.9152498718
112,31137,182418.84240385
113,31138,170827.4762831087
114,31139,172752.34859007856
115,31140,173075.56198723163
116,31141,179469.4768615894
117,31142,170659.63543347135
118,31143,178332.48405322782
119,31144,190116.91734517322
120,31145,87266.61196107612
121,31146,87547.70540629255
122,31147,84849.9925802784
123,31148,76126.3267946124
124,31149,71557.66027957812
125,31150,68232.15635370913
126,31151,68904.97184963623
127,31152,67102.45823520339
128,31153,70345.67987853903
129,31154,77392.10701112627
130,31155,87377.68301224882
131,31156,92739.74268555819
132,31157,101615.11095813951
133,31158,106213.67628653109
134,31159,109659.58421545144
135,31160,119273.684864844
136,31161,136125.17502339388
137,31162,147446.55099416908
138,31163,154530.6481937894
139,31164,164694.06870752148
140,31165,172259.15001196915
141,31166,165519.4350737626
142,31167,375104.8320012019
143,31168,329779.32296206395
144,31169,354651.6843413663
145,31170,257758.36732687984
146,31171,290056.7344609684
