,index,PNW
0,31755,107469.88728361487
1,31756,145797.05658407256
2,31757,127668.7291187727
3,31758,132404.06948527638
4,31759,128811.8120582178
5,31760,123893.96957821006
6,31761,120419.38773788698
7,31762,118812.05391767807
8,31763,127484.14043908389
9,31764,138269.79264428935
10,31765,132289.23297336904
11,31766,122407.78851398407
12,31767,111735.11287613926
13,31768,117627.93638973086
14,31769,176599.04306528755
15,31770,196296.9694136839
16,31771,201893.12369049081
17,31772,208597.148596198
18,31773,194962.63875279817
19,31774,186075.95943191045
20,31775,182691.97273033205
21,31776,188983.65533868957
22,31777,179576.77735920902
23,31778,179642.07992437916
24,31779,168041.1599994834
25,31780,167058.68945381822
26,31781,167190.29331820898
27,31782,165945.90281042975
28,31783,162628.01413606777
29,31784,164865.70913698972
30,31785,157767.74395965136
31,31786,151092.61118143424
32,31787,179217.1004286855
33,31788,174639.40596815266
34,31789,169782.92568507945
35,31790,165096.46488852403
36,31791,181109.09464000346
37,31792,254982.892672436
38,31793,294831.85477076116
39,31794,353776.630830223
40,31795,375700.26444380544
41,31796,405410.45024709194
42,31797,380420.7396740536
43,31798,342643.69882625644
44,31799,320562.27965764
45,31800,299179.22595750104
46,31801,287461.05121921666
47,31802,285377.85177120095
48,31803,292738.4964743675
49,31804,314049.85972236964
50,31805,325122.59448370256
51,31806,329518.88858818304
52,31807,328368.26136630983
53,31808,312182.11790735775
54,31809,292601.844144405
55,31810,272808.9535202276
56,31811,262133.37231724273
57,31812,247741.39490639343
58,31813,229359.12410503757
59,31814,247487.2495717437
60,31815,185268.30468481485
61,31816,176342.60797712568
62,31817,179022.81669947042
63,31818,188177.83225283833
64,31819,184987.32164479417
65,31820,172184.8562756364
66,31821,167365.63183827273
67,31822,182254.06431391058
68,31823,183803.83755448795
69,31824,193231.70493968716
70,31825,197081.97397150757
71,31826,208183.8512640593
72,31827,214131.46868281957
73,31828,213324.73763821123
74,31829,217089.17686029972
75,31830,213248.3449181188
76,31831,212765.4784740287
77,31832,210086.627821369
78,31833,203391.34505085537
79,31834,198819.21357179648
80,31835,199809.8307846299
81,31836,196983.06394593313
82,31837,189725.9682294735
83,31838,138357.43437782413
84,31839,135726.02108889865
85,31840,144312.56588528928
86,31841,130251.37793905276
87,31842,129909.23195755876
88,31843,129294.72858323774
89,31844,134388.54786136976
90,31845,89173.68030245401
91,31846,104286.43223042172
92,31847,189418.79068579423
93,31848,189515.90510787535
94,31849,187360.66248812244
95,31850,180349.70808261767
96,31851,192536.50042824214
97,31852,202796.59504859603
98,31853,235706.78335380022
99,31854,276983.50377531763
100,31855,322021.11890034995
101,31856,338477.39433434466
102,31857,337438.2727694855
103,31858,331090.39063162415
104,31859,317920.2942087461
105,31860,280609.7414938437
106,31861,282768.66505990666
107,31862,281444.9571077263
108,31863,275145.0670651065
109,31864,273963.9880416234
110,31865,276815.05059477495
111,31866,288047.9340441761
112,31867,262648.8229450239
113,31868,345635.8443242461
114,31869,359661.99807782704
115,31870,400331.1722008161
116,31871,376062.2994348496
117,31872,356173.16320236336
118,31873,303497.86396747286
119,31874,309825.295577427
120,31875,110247.42740471152
121,31876,100328.04838384056
122,31877,88859.8343082628
123,31878,76747.0841744453
124,31879,71027.08020585563
125,31880,67425.63732503563
126,31881,64877.89720130802
127,31882,62969.73342093687
128,31883,60873.58030069654
129,31884,58917.895764703164
130,31885,59871.24806913732
131,31886,61781.88458205148
132,31887,74530.47445925402
133,31888,104981.05124498019
134,31889,129617.70855834492
135,31890,141977.8907775727
136,31891,147269.89635366516
137,31892,158813.87908879702
138,31893,159608.0403743274
139,31894,152702.7484553844
140,31895,141349.49042585236
141,31896,135762.11001918413
142,31897,206452.22159693812
143,31898,274307.6050650703
144,31899,235458.6260393929
145,31900,272810.2556616203
146,31901,254525.45661328113
147,31902,291492.9876773321
148,31903,254165.1885570672
149,31904,292506.44775750145
150,31905,251367.8090974271
151,31906,303990.7882793496
152,31907,286358.73456599994
153,31908,308369.3861189639
154,31909,323542.3108571926
155,31910,359140.53855237423
156,31911,350798.02222871647
157,31912,356786.42025647766
158,31913,355403.0048160072
159,31914,368016.07208064117
160,31915,368121.2936170377
161,31916,360347.6518396626
162,31917,342806.5690279692
163,31918,330292.86008656025
164,31919,317033.55764893064
165,31920,307580.5599300731
166,31921,305318.2761940833
167,31922,303801.08381928795
168,31923,295741.97770749754
169,31924,288747.26727779704
170,31925,251225.04334011447
171,31926,229701.24002556354
172,31927,218684.57924544843
173,31928,217080.75668857907
174,31929,233159.9387174971
175,31930,251560.96122194346
176,31931,240139.05273975775
177,31932,248774.55288219536
178,31933,250223.08793748764
179,31934,260282.55380397697
180,31935,265101.6772398206
181,31936,244307.89860132453
182,31937,249569.97107002788
183,31938,255863.70684910857
184,31939,246184.24095252238
185,31940,253625.37246785758
186,31941,246052.76757728643
187,31942,215066.0596863957
188,31943,199606.0473149339
189,31944,189976.66563011822
190,31945,201071.7325515032
191,31946,185298.49474810445
192,31947,175462.7318255001
193,31948,173167.0105151825
194,31949,169092.19213384
195,31950,166245.74809974164
196,31951,138647.96373478175
197,31952,138238.17512038606
198,31953,124189.2678788691
199,31954,133872.63788544605
200,31955,117894.79487511198
201,31956,107979.02371951776
202,31957,88455.96958347154
203,31958,89626.5834809003
204,31959,93661.40253992654
205,31960,92545.75225967629
206,31961,80491.69348898038
207,31962,65522.51716869994
208,31963,65366.43686256322
209,31964,65699.45155759696
210,31965,78189.94092876234
211,31966,85460.76269291257
212,31967,101526.1693780057
213,31968,84850.01323242454
214,31969,86382.11039764172
215,31970,58554.845037479536
216,31971,71494.47536653033
217,31972,75415.12078712751
218,31973,56849.18226653553
219,31974,62015.256466199935
220,31975,63759.690776474716
221,31976,63682.85495915882
222,31977,59340.50404529786
223,31978,62483.18701820848
224,31979,50716.834122121974
225,31980,59431.78488821942
226,31981,37563.436707560846
227,31982,66376.40700982277
228,31983,63465.15400959375
229,31984,119435.81757655751
230,31985,100271.49010508576
231,31986,101203.90948374759
232,31987,97282.38417398688
233,31988,101845.3729313643
234,31989,102574.31353771761
235,31990,98634.0950089405
236,31991,96396.53746018458
237,31992,96425.92889801039
238,31993,107317.20814041424
239,31994,108016.59867074789
240,31995,107284.56929441949
241,31996,112339.12245676585
242,31997,178662.46913846247
243,31998,108248.60798755172
244,31999,78629.85353466692
245,32000,77105.64888152819
246,32001,66303.52257027346
247,32002,60339.28484135817
248,32003,51850.53514725476
249,32004,58941.117599655525
250,32005,61942.484795035896
251,32006,57038.97553390413
252,32007,65878.40303458486
253,32008,57658.53012655086
254,32009,51744.05138138485
255,32010,57807.54794734897
256,32011,62774.18835076112
257,32012,69165.88164837296
258,32013,75629.16011767232
259,32014,72028.90126014441
260,32015,76430.17951187518
261,32016,64110.91963401226
262,32017,69151.10396988351
263,32018,85493.49813535146
264,32019,82062.59658816022
265,32020,79653.57239245993
266,32021,73778.84854485668
267,32022,72081.59226631821
268,32023,70537.6441543162
269,32024,68491.38845129122
270,32025,65691.24418560529
271,32026,65065.320140102034
272,32027,71315.71187206161
273,32028,87645.62820735235
274,32029,100501.3102140494
275,32030,97849.40483147367
276,32031,98232.13828972702
277,32032,105633.82172995535
278,32033,109638.54037509763
279,32034,100328.72100561875
280,32035,101307.32909556679
281,32036,95930.00705994182
282,32037,99853.13513461004
283,32038,97203.4341360549
284,32039,91812.4134107063
285,32040,93623.77285762203
286,32041,86681.27869569135
287,32042,94526.95542543392
288,32043,91064.76188368903
289,32044,90368.762013099
290,32045,88296.96897765639
291,32046,98833.76495647842
292,32047,96362.20097737247
293,32048,89890.8148232906
294,32049,86687.12337960216
295,32050,85338.46159275546
296,32051,86441.13328385452
297,32052,95194.6541339175
298,32053,82823.37566776197
299,32054,83642.17194543447
300,32055,86003.23740951526
301,32056,85175.70024385338
302,32057,90606.23641965198
303,32058,91890.88525989339
304,32059,73100.62990151272
305,32060,54181.51418050604
306,32061,63489.485353690805
307,32062,62966.91598877055
308,32063,55961.20235581395
309,32064,56252.11678010179
310,32065,60402.38348594392
311,32066,51038.45226514494
312,32067,55632.79288732978
313,32068,55318.30294057302
314,32069,51154.74792889388
315,32070,50513.47163896385
316,32071,49817.19230609332
317,32072,50278.004895549384
318,32073,48072.71296715691
319,32074,50496.582016844564
320,32075,49763.64910941187
321,32076,52141.899161763635
322,32077,53937.35564108903
323,32078,72900.90258918647
324,32079,67265.89211752667
325,32080,62020.01565974002
326,32081,52825.82532075682
327,32082,49463.24688204736
328,32083,49227.17519871224
329,32084,53079.10653892213
330,32085,48983.0586381171
331,32086,48450.74393407455
332,32087,52783.42596987242
333,32088,53987.53586109457
334,32089,51389.14991369331
335,32090,52145.48511929985
336,32091,49391.66337163217
337,32092,40470.5716081023
338,32093,45649.312084972975
339,32094,44647.53997756963
340,32095,46618.79449483787
341,32096,43143.0578094839
342,32097,58113.57372988414
343,32098,72143.28686017735
344,32099,95365.64184431717
345,32100,88107.4136560268
346,32101,77949.00410112087
347,32102,73015.11514622325
348,32103,61916.07491647755
349,32104,61805.4118328522
350,32105,48446.14923848209
351,32106,48590.00916283141
352,32107,40356.54866592589
353,32108,37970.98348894721
354,32109,35255.76815456941
355,32110,39204.84598569089
