,index,PNW
0,20075,135201.74705962228
1,20076,116836.60939135047
2,20077,144786.23413397805
3,20078,145241.683134703
4,20079,150452.95522687
5,20080,155332.0093442518
6,20081,151807.12897875995
7,20082,158055.41726885378
8,20083,171290.21824404676
9,20084,169373.01652681894
10,20085,178693.65009776215
11,20086,172991.1510504899
12,20087,168695.30719168068
13,20088,169174.91996435585
14,20089,168975.9747841372
15,20090,160290.17995438367
16,20091,152357.19092647
17,20092,145875.34622523136
18,20093,145686.13350359307
19,20094,138676.15423152424
20,20095,126098.07030648849
21,20096,167235.6057149091
22,20097,173516.4209618484
23,20098,177509.1914763009
24,20099,178508.82469076928
25,20100,184622.47225111103
26,20101,172486.86620049019
27,20102,181554.76897134393
28,20103,179518.50903712556
29,20104,178951.0068850257
30,20105,193218.35423907152
31,20106,192251.5972993028
32,20107,191539.64833843522
33,20108,200373.91905051094
34,20109,187453.46811332976
35,20110,193055.07713254943
36,20111,192267.7525214475
37,20112,191366.7149479748
38,20113,205038.20052967925
39,20114,196252.91158783666
40,20115,184578.63971319402
41,20116,195728.04593291474
42,20117,201714.53231668466
43,20118,193424.09361542505
44,20119,182999.52693404572
45,20120,177117.11688324256
46,20121,183120.3382963651
47,20122,175516.96832811477
48,20123,179717.97871481604
49,20124,176612.92995386518
50,20125,185058.845621975
51,20126,181169.6784361074
52,20127,182212.45057003593
53,20128,188686.88425524076
54,20129,186829.4374473835
55,20130,191868.41303687327
56,20131,199312.0394314964
57,20132,195480.79915317707
58,20133,193546.74199815528
59,20134,205224.77449678926
60,20135,139749.60325582637
61,20136,137043.9847542043
62,20137,133223.9149077012
63,20138,135415.1010407313
64,20139,134528.64439339624
65,20140,145025.46266753192
66,20141,153447.0330905707
67,20142,189809.52013237725
68,20143,293653.7938901996
69,20144,299390.64337340527
70,20145,294580.3632027504
71,20146,278379.46671022556
72,20147,296323.01412371785
73,20148,312067.49010198005
74,20149,311348.6849230009
75,20150,298919.1982628996
76,20151,295941.97033607174
77,20152,277865.66233053163
78,20153,275107.5124558283
79,20154,261783.3948288299
80,20155,250137.84138568252
81,20156,243621.692955966
82,20157,231114.8471954384
83,20158,185722.279095953
84,20159,195431.7682769996
85,20160,222388.76001362212
86,20161,236668.55453017494
87,20162,274134.61048255174
88,20163,301935.37643878674
89,20164,336430.68859098986
90,20165,329201.9215193615
91,20166,331395.9458739184
92,20167,331201.61028679705
93,20168,326037.5528030344
94,20169,317573.04341690487
95,20170,309851.2293960216
96,20171,316963.3329960435
97,20172,320494.174959391
98,20173,362949.37746029533
99,20174,378574.2012030088
100,20175,381637.42380636453
101,20176,386936.00695209857
102,20177,378024.4007469794
103,20178,363068.7770789121
104,20179,356698.02175750607
105,20180,326466.55537153094
106,20181,305473.22423799674
107,20182,304582.8313606389
108,20183,297393.88248339423
109,20184,281449.8421569135
110,20185,289273.4611854504
111,20186,259705.2591593201
112,20187,245136.30972142192
113,20188,241703.83347275143
114,20189,237950.95824042681
115,20190,244967.08948327173
116,20191,250440.66155329847
117,20192,260281.47967565933
118,20193,257346.05932702747
119,20194,241661.98728823932
120,20195,92828.4262532623
121,20196,87832.11502574425
122,20197,99367.0822927744
123,20198,123104.63314520902
124,20199,166316.987751373
125,20200,198681.2673072142
126,20201,211834.6161151532
127,20202,323783.11566234997
128,20203,364005.48555321246
129,20204,396328.7916067309
130,20205,367699.32523206284
131,20206,401692.6323065321
132,20207,347627.34475456
133,20208,367983.4227436577
134,20209,290234.10137194477
135,20210,297845.08637173614
136,20211,200555.88400898315
137,20212,216313.8962651936
138,20213,138991.54165020533
139,20214,216888.18614656507
140,20215,256007.28987396695
141,20216,285589.81316372106
142,20217,280979.59249989234
143,20218,297568.24993631034
144,20219,274722.94266499137
145,20220,315429.3886799447
146,20221,343955.4699971004
147,20222,387929.42991342925
148,20223,398497.33426652785
149,20224,408485.9127697322
150,20225,408599.62025725597
151,20226,430331.0265032439
152,20227,434216.648571459
153,20228,433301.06197639706
154,20229,429130.11004502967
155,20230,427770.31108195015
156,20231,415804.7222609235
157,20232,407826.7865372944
158,20233,403795.8472754862
159,20234,398583.00165135047
160,20235,410982.9253558086
161,20236,413049.786922559
162,20237,408882.4988418895
163,20238,387635.1797784582
164,20239,380598.79748700454
165,20240,361949.7742626311
166,20241,375177.86855579494
167,20242,366399.4891655494
168,20243,366283.5158906416
169,20244,366286.94708538294
170,20245,363956.8780942822
171,20246,335136.9967088251
172,20247,327470.34663669346
173,20248,299819.3429877574
174,20249,319242.5899450567
175,20250,329044.7345715611
176,20251,297844.1513089557
177,20252,299723.5412749208
178,20253,295439.6554168826
179,20254,296720.0894672418
180,20255,313818.08487862244
181,20256,260282.06668853667
182,20257,323213.9105093321
183,20258,284263.73446737416
184,20259,293595.08989247156
185,20260,273466.2640692539
186,20261,265769.17352383316
187,20262,270591.3854759005
188,20263,284352.0487504228
189,20264,272360.6408861118
190,20265,245153.90764171872
191,20266,233253.82047893215
192,20267,228039.73551396822
193,20268,217917.63932499068
194,20269,225241.8908218327
195,20270,212573.85309201677
196,20271,229925.28226111285
197,20272,228555.1344604228
198,20273,207213.12737755402
199,20274,195344.06039037087
200,20275,193325.5692651425
201,20276,206441.42851304403
202,20277,176491.24323581843
203,20278,168654.5829789478
204,20279,160284.49093335913
205,20280,156777.353850909
206,20281,142095.7605623336
207,20282,129091.96735179375
208,20283,141555.3169592088
209,20284,136462.81165612023
210,20285,126335.49658755073
211,20286,126158.65737181215
212,20287,123319.87486862921
213,20288,97476.28003248665
214,20289,93208.15736613254
215,20290,106012.85160020512
216,20291,189183.68871343572
217,20292,151460.34588675603
218,20293,162499.80562074005
219,20294,154751.41071488796
220,20295,153145.8042635832
221,20296,158442.30462391063
222,20297,150541.19113773774
223,20298,133240.47400333977
224,20299,120532.6771637291
225,20300,124969.00561041081
226,20301,130924.99748633643
227,20302,135440.30246128456
228,20303,146185.49448468105
229,20304,140423.30808770892
230,20305,146372.8725738022
231,20306,147922.43985623008
232,20307,130036.64305898617
233,20308,141015.42001665442
234,20309,128829.7903248827
235,20310,138697.42709022018
236,20311,139030.042523048
237,20312,143397.23742227448
238,20313,149026.78646541835
239,20314,152278.59592172818
240,20315,150936.7198829193
241,20316,140972.01750160023
242,20317,198027.29726040075
243,20318,123931.34906288463
244,20319,108625.30699036982
245,20320,102808.27825534831
246,20321,98620.48210215458
247,20322,92851.05419223887
248,20323,83733.18394910518
249,20324,93104.45645684522
250,20325,97828.0199100442
251,20326,92140.28916318211
252,20327,89372.93705458907
253,20328,88770.78123339267
254,20329,94102.15228734275
255,20330,91779.03647379146
256,20331,76805.04703667342
257,20332,94269.87289976045
258,20333,92488.15408004413
259,20334,101048.81619935272
260,20335,93034.20910649397
261,20336,88773.69893590546
262,20337,97404.83894869349
263,20338,111055.05033364356
264,20339,97182.15794845483
265,20340,105339.49386446024
266,20341,121821.0434122828
267,20342,108001.06608570521
268,20343,107771.1221306111
269,20344,106046.0774440545
270,20345,97885.1845301775
271,20346,90399.80488630963
272,20347,104195.9930858297
273,20348,122693.80852282674
274,20349,147550.0083487681
275,20350,150927.29856069933
276,20351,153971.25457442593
277,20352,141257.98021290754
278,20353,143945.06691675563
279,20354,136955.73800225125
280,20355,142271.77789385378
281,20356,143181.61145790335
282,20357,141990.49139288504
283,20358,135754.8989813652
284,20359,123534.5928740048
285,20360,125216.33619879403
286,20361,125619.31585652256
287,20362,130436.2252971368
288,20363,116892.98247117401
289,20364,116925.75786952108
290,20365,118040.94376117439
291,20366,119908.50000563053
292,20367,130944.28275065898
293,20368,126360.00869628601
294,20369,132217.82973077515
295,20370,130484.80819938966
296,20371,141071.8572628244
297,20372,139627.839547923
298,20373,134415.40082042268
299,20374,133340.73025983406
300,20375,150782.65826861735
301,20376,142749.1800695819
302,20377,129513.58310419516
303,20378,137502.2002759028
304,20379,134090.25923421874
305,20380,123816.90086802804
306,20381,104378.24913387813
307,20382,96911.41156101064
308,20383,103205.97012870705
309,20384,112567.109930671
310,20385,101130.27572983023
311,20386,98178.36108263116
312,20387,97177.15684282438
313,20388,96496.72852459052
314,20389,107010.30567961109
315,20390,121178.42180127205
316,20391,130360.69813481002
317,20392,130268.59922000777
