,index,PNW
0,18615,177341.6228366196
1,18616,223921.96843319
2,18617,247562.04132120628
3,18618,235533.69371940746
4,18619,230072.7200476066
5,18620,245578.24426263498
6,18621,246745.3198905995
7,18622,233143.30610416635
8,18623,217802.11155002427
9,18624,213386.25953776957
10,18625,190172.14162987916
11,18626,186052.27229660706
12,18627,187567.4789467796
13,18628,189899.03750007306
14,18629,195777.02296294618
15,18630,189910.77616704066
16,18631,192252.59654427264
17,18632,193252.1791978036
18,18633,193342.6432422398
19,18634,195344.02693104852
20,18635,196561.8924591393
21,18636,220067.10303713218
22,18637,250026.4098794469
23,18638,259928.94434971365
24,18639,261106.9694475906
25,18640,249408.87697639663
26,18641,252826.0484584339
27,18642,281049.52297200734
28,18643,313298.1555166644
29,18644,333834.43907613243
30,18645,337470.908905098
31,18646,326731.28614257916
32,18647,321976.10562071303
33,18648,295846.0214979978
34,18649,290854.37959078467
35,18650,280706.46624272934
36,18651,296519.48248861515
37,18652,302161.4368128929
38,18653,280852.3485866513
39,18654,276967.1311830502
40,18655,275087.0227242304
41,18656,275610.1307517784
42,18657,270256.45899773267
43,18658,265323.81713983783
44,18659,276138.0507456953
45,18660,263380.50288897514
46,18661,261723.57016300596
47,18662,274776.7086203379
48,18663,277332.39434018504
49,18664,285684.4183457658
50,18665,290619.47244764655
51,18666,308329.20225591905
52,18667,329856.512408106
53,18668,330876.159977852
54,18669,325301.2476333501
55,18670,308254.57849957736
56,18671,310119.2938557957
57,18672,321352.2326902727
58,18673,345195.13080903236
59,18674,356990.23056362267
60,18675,266072.9815537286
61,18676,250157.8830087997
62,18677,286179.66316079744
63,18678,272460.57513279724
64,18679,271770.36067588406
65,18680,273150.6920099557
66,18681,280037.0349723448
67,18682,285138.7444118102
68,18683,281913.4594801301
69,18684,283077.30918539286
70,18685,291965.82009118865
71,18686,289815.53193567006
72,18687,288845.16388055705
73,18688,292196.5609848818
74,18689,284721.94685199374
75,18690,287731.64428393
76,18691,269485.27159527
77,18692,261181.71530726386
78,18693,254093.56152703776
79,18694,247869.5095067058
80,18695,256584.68133631942
81,18696,257641.98072117253
82,18697,232135.2563742533
83,18698,174709.0522018431
84,18699,185176.3283547393
85,18700,175358.66234769492
86,18701,184119.45647825423
87,18702,168980.52040284633
88,18703,189869.51480612092
89,18704,238201.43745561625
90,18705,205520.2685581441
91,18706,157394.9041101121
92,18707,164202.40583900714
93,18708,162321.06319216115
94,18709,176094.02091235327
95,18710,193177.39290342887
96,18711,189700.96264556458
97,18712,183546.88226846623
98,18713,201117.88904685518
99,18714,216108.84625136456
100,18715,215192.96324166644
101,18716,222588.34297094363
102,18717,260411.0432796872
103,18718,248324.94576577362
104,18719,267140.632226104
105,18720,278233.42672201793
106,18721,299125.83842300205
107,18722,300577.9042985358
108,18723,302600.83570839313
109,18724,343939.827242949
110,18725,360943.9950822549
111,18726,390292.1343379069
112,18727,414915.5377139342
113,18728,436439.5724264275
114,18729,419088.9875675582
115,18730,419185.77256623446
116,18731,404925.1215847884
117,18732,421549.5524417012
118,18733,418359.72324019007
119,18734,430476.23595372343
120,18735,328887.0208565482
121,18736,344522.18073371105
122,18737,319583.4288647014
123,18738,293679.53951301414
124,18739,220268.65131253804
125,18740,198750.96859538835
126,18741,119808.52715882342
127,18742,126889.62295201108
128,18743,106058.55166304664
129,18744,107172.15042766888
130,18745,115772.9498664452
131,18746,127483.01627166188
132,18747,141997.23227017192
133,18748,200072.27284242638
134,18749,274730.14537113043
135,18750,303769.34435211594
136,18751,314879.64739344706
137,18752,298361.4937750456
138,18753,280597.27040781
139,18754,296750.9994287137
140,18755,346617.3637104331
141,18756,333739.30678221985
142,18757,322791.97147186694
143,18758,332442.388059222
