,index,PNW
0,16425,91765.88329683407
1,16426,129723.64135332426
2,16427,127755.98631464937
3,16428,125970.4220741792
4,16429,129433.99281646256
5,16430,115993.45507780366
6,16431,128686.37088570566
7,16432,125551.58783365545
8,16433,123899.85898363407
9,16434,137680.3467674548
10,16435,148766.35091524097
11,16436,154667.98854969276
12,16437,152210.8588151502
13,16438,155374.32205337405
14,16439,161918.91408612215
15,16440,162005.77143577978
16,16441,161979.56371241334
17,16442,163563.0739666685
18,16443,168604.58858819617
19,16444,172397.6980856595
20,16445,163857.37172904075
21,16446,156172.85976348206
22,16447,167906.6784088295
23,16448,176298.26792202235
24,16449,180616.85551630377
25,16450,211821.12080296563
26,16451,221362.61759630052
27,16452,216591.52063842578
28,16453,201484.54844849114
29,16454,210007.09404606314
30,16455,219242.38652309056
31,16456,219372.23063704185
32,16457,215651.69346546393
33,16458,208352.60606279122
34,16459,202478.54695660525
35,16460,197013.7256443209
36,16461,221698.00907740166
37,16462,225284.62454686264
38,16463,226198.46659418242
39,16464,229850.17287023904
40,16465,229708.88062796075
41,16466,240189.95584769014
42,16467,248238.88540501718
43,16468,268976.61036352895
44,16469,301689.6195060118
45,16470,315097.414327929
46,16471,359606.84296618
47,16472,351512.4143583518
48,16473,332162.0313754659
49,16474,326514.29493502964
50,16475,322204.35672292055
51,16476,322515.13581445365
52,16477,316368.828827095
53,16478,312627.2027714134
54,16479,302647.25286691193
55,16480,303954.40431499056
56,16481,317333.3743410263
57,16482,344076.8327431874
58,16483,330486.13009659084
59,16484,318134.31276158
60,16485,254686.2735656793
61,16486,233561.0833405474
62,16487,228878.25467951442
63,16488,237960.69520494618
64,16489,287184.7768071834
65,16490,310816.24213806115
66,16491,318277.5177192376
67,16492,340427.33739857806
68,16493,326220.9705855079
69,16494,314147.5343201869
70,16495,303274.2393201741
71,16496,306871.3869237667
72,16497,324458.63527903554
73,16498,316193.86150057946
74,16499,332851.9217347125
75,16500,333937.6306764497
76,16501,341632.36963192554
77,16502,326407.29038412485
78,16503,333425.60646573355
79,16504,325298.2056898029
80,16505,332831.9541760755
81,16506,308995.826088826
82,16507,329111.6061467955
83,16508,352896.04349482886
84,16509,330355.85841773835
85,16510,321522.3304012883
86,16511,311790.208038718
87,16512,321093.74591734353
88,16513,326731.464563553
89,16514,313624.4237277516
90,16515,259272.06138531253
91,16516,167373.97984156903
92,16517,182543.33350127723
93,16518,177159.85367784975
94,16519,180623.77140451924
95,16520,169806.20929294126
96,16521,187700.77178391535
97,16522,217148.1952964728
98,16523,215399.998347475
99,16524,249835.29869369365
100,16525,249415.87320183945
101,16526,252204.0794688017
102,16527,247494.75872427187
103,16528,237645.3024043916
104,16529,243557.7217591906
105,16530,206664.4201693165
106,16531,239012.33634975232
107,16532,264500.0499501731
108,16533,259292.74425505332
109,16534,264618.01131678757
110,16535,265921.4448365379
111,16536,233030.39713036886
112,16537,252721.09041211777
113,16538,265164.5237142491
114,16539,268606.0958537136
115,16540,264505.42746794084
116,16541,293506.0561509935
117,16542,337481.7383476023
118,16543,353443.56052396644
119,16544,394683.34943561896
120,16545,248837.10403601493
