,index,PNW
0,12775,144117.7448842073
1,12776,164303.54797099726
2,12777,200556.2350837414
3,12778,171066.16060244295
4,12779,121811.61516980396
5,12780,110561.79151124568
6,12781,103225.92912229878
7,12782,122266.92712605017
8,12783,115869.38927155806
9,12784,112966.96605107348
10,12785,126914.81932667995
11,12786,121037.90764280426
12,12787,114946.11984496206
13,12788,128103.84339861866
14,12789,123495.63982605876
15,12790,104574.24411477218
16,12791,103938.83639140133
17,12792,149271.3381629284
18,12793,231417.4337866136
19,12794,303914.35231955466
20,12795,336489.98755470855
21,12796,345256.70406037447
22,12797,352598.68696228834
23,12798,344762.0732206489
24,12799,352367.46258388483
25,12800,338359.0117611445
26,12801,327312.88456079725
27,12802,335581.57373557973
28,12803,315938.38775779813
29,12804,292649.3008901968
30,12805,302228.7862504843
31,12806,301020.47481823765
32,12807,300062.3531444237
33,12808,304482.08662623493
34,12809,284996.7854218802
35,12810,276693.01203180273
36,12811,292960.5227256659
37,12812,280272.71242460667
38,12813,288598.41983156436
39,12814,256550.41221969106
40,12815,283656.5946213831
41,12816,276640.486247121
42,12817,267722.4835912765
43,12818,255311.9323162912
44,12819,251166.46550335753
45,12820,250328.58333292586
46,12821,236651.29812979256
47,12822,231347.27298996208
48,12823,216710.07167155866
49,12824,224188.60457151325
50,12825,217505.3836029766
51,12826,217795.121369249
52,12827,225112.62075901762
53,12828,224297.32397237417
54,12829,218120.20273078643
55,12830,230814.6318060425
56,12831,225644.5525638443
57,12832,222050.16318763775
58,12833,215283.55255596378
59,12834,232414.9835417543
60,12835,181143.85834079838
61,12836,182310.29182894138
62,12837,177317.9766574462
63,12838,182456.8115227756
64,12839,178356.29814398344
65,12840,174320.48949003033
66,12841,176628.7120035545
67,12842,187782.60255685906
68,12843,191716.40981306977
69,12844,215428.26749070518
70,12845,210002.86871567735
71,12846,216874.1241063265
72,12847,213587.63240404148
73,12848,206351.74870821513
74,12849,213126.5774862952
75,12850,221264.4488550591
76,12851,242898.83501500654
77,12852,213601.2558189469
78,12853,277514.5070644412
79,12854,290142.9465459411
80,12855,290919.1801317277
81,12856,284144.3090048837
82,12857,267660.24876318907
83,12858,217106.2810186957
84,12859,225269.44253998908
85,12860,239925.7377211406
86,12861,316225.31194895745
87,12862,346210.8318967501
88,12863,360161.95863528084
89,12864,344267.41029786196
90,12865,286891.4857223289
91,12866,260781.0034636904
92,12867,259524.19735838546
93,12868,244003.26656105596
94,12869,261150.92915596787
95,12870,247453.66316984763
96,12871,239396.04393127607
97,12872,263574.37487233063
98,12873,271758.963242198
99,12874,278462.4540448574
100,12875,284016.12926654343
101,12876,277252.5077504909
102,12877,273948.94290787796
103,12878,275079.35213188245
104,12879,266951.315973703
105,12880,230308.6135364553
106,12881,252594.63263967045
107,12882,266041.9661450593
108,12883,256511.09740565976
109,12884,252873.6628915738
110,12885,243776.43092375417
111,12886,247865.1829053791
112,12887,267162.3008353774
113,12888,294276.609578926
114,12889,329728.10993053636
115,12890,358403.39691931265
116,12891,374414.6091643182
117,12892,385620.3836784738
118,12893,373422.33834102936
119,12894,363096.54519117775
120,12895,211837.7968829585
121,12896,145881.38442790924
122,12897,152291.31784919483
123,12898,160765.5367140677
124,12899,170260.59430935673
125,12900,163189.91725851182
126,12901,213529.5540278617
127,12902,234043.89739014942
128,12903,265695.76411089755
129,12904,294264.3653617896
130,12905,315251.7571901998
131,12906,301679.44269818766
132,12907,304709.4668260861
133,12908,302475.3896104726
134,12909,342525.59091098804
135,12910,354054.75612305733
136,12911,397266.23163872265
137,12912,401480.2863996895
138,12913,411242.33321599354
139,12914,425054.9680090813
140,12915,421960.7048561244
141,12916,416014.8803696485
142,12917,413498.61680142116
143,12918,403139.02196401276
144,12919,401293.1350275042
145,12920,395830.69482213445
146,12921,381578.36020449817
147,12922,363224.36785848485
148,12923,385245.6106340035
149,12924,379889.61204584205
150,12925,387127.212180202
151,12926,410496.348333319
152,12927,423645.2128181101
153,12928,416453.6469052945
154,12929,419562.7410661746
155,12930,408321.232248845
156,12931,418444.56009080866
157,12932,413144.1730750409
158,12933,418304.10542209365
159,12934,400324.2251686948
160,12935,405798.35042141343
161,12936,384602.46161691844
162,12937,394272.72220973775
163,12938,351632.2923561715
164,12939,379712.07800993894
165,12940,348292.1485576918
166,12941,368082.32969487645
167,12942,343636.993141492
168,12943,410301.632207121
169,12944,409884.59187314543
170,12945,412864.9940647791
171,12946,378518.17753932206
172,12947,394977.06341699406
173,12948,356841.391401059
174,12949,397539.56133808865
175,12950,362568.9075150223
176,12951,367405.0557932185
177,12952,354013.33241847134
178,12953,362959.2161326654
179,12954,365912.27909305063
180,12955,340695.88147728844
181,12956,335925.8253816498
182,12957,335701.0657932537
183,12958,308813.19894706405
184,12959,281942.98171364155
185,12960,264462.63087517954
186,12961,263332.04621124745
187,12962,268239.7529771294
188,12963,256751.70591523382
189,12964,228146.95851039502
190,12965,241235.56379647568
191,12966,230175.08129937315
192,12967,210297.89411535003
193,12968,204804.43304979865
194,12969,201525.45523693808
195,12970,192710.71423911757
196,12971,199585.06818298253
197,12972,206507.4589460938
198,12973,190821.70441128808
199,12974,189026.23324573567
200,12975,180435.55207907077
201,12976,161751.26307977637
202,12977,162634.11172787554
203,12978,166619.544679032
204,12979,172938.82265528763
205,12980,143444.9171386494
206,12981,146341.2901215819
207,12982,129635.83880493883
208,12983,126348.53971039772
209,12984,131015.27533683473
210,12985,118653.83962272466
211,12986,111127.02800542326
212,12987,107718.8124113974
213,12988,80083.69433705803
214,12989,74346.89190163894
215,12990,72482.67893121572
216,12991,73892.69715535484
217,12992,68279.64503642531
218,12993,68986.73152841014
219,12994,57397.74329124976
220,12995,66930.5704861134
221,12996,65628.35200884183
222,12997,67326.55438910876
223,12998,72013.43928722279
224,12999,62019.858964332874
225,13000,71608.46882023143
226,13001,72908.36081039744
227,13002,85614.15312193106
228,13003,84780.86114669735
229,13004,92656.80229997513
230,13005,171333.90412068786
231,13006,142057.96064385216
232,13007,135227.43804357736
233,13008,139849.66348187032
234,13009,141643.6001968645
235,13010,135094.3453978492
236,13011,127300.48663816958
237,13012,129286.67869053928
238,13013,133826.57580147125
239,13014,121520.54485866977
240,13015,123210.3055097392
241,13016,140532.04437481664
242,13017,190950.99010881738
243,13018,108538.95792602733
244,13019,92124.24202199413
245,13020,101765.4989971553
246,13021,89895.77464908626
247,13022,94533.72907940205
248,13023,84227.32989396146
249,13024,86439.47776028322
250,13025,61845.6314613225
251,13026,80073.35383346371
252,13027,83776.86810365165
253,13028,82112.24251876886
254,13029,94987.45822424405
255,13030,88085.38825065727
256,13031,88411.72175263382
257,13032,92110.14924909397
258,13033,96769.63698150573
259,13034,103448.84770507512
260,13035,98535.83393501327
261,13036,92239.94819594365
262,13037,104654.57060426178
263,13038,110015.54744973645
264,13039,112316.94043492623
265,13040,111355.97683070952
266,13041,104317.58777176068
267,13042,100774.82107752401
268,13043,105526.17473410547
269,13044,116354.59290362621
270,13045,99436.93194014
271,13046,111603.21210452475
272,13047,148857.37182074733
273,13048,206772.23575857864
274,13049,215787.47389985982
275,13050,197303.80193823285
276,13051,188441.04771746934
277,13052,178495.67985280845
278,13053,164102.87338723982
279,13054,162803.14819412335
280,13055,176867.73718807148
281,13056,159264.44248796222
282,13057,172436.63291368837
283,13058,158180.34805941302
284,13059,172165.6378732542
285,13060,166234.92318908952
286,13061,167006.02955135066
287,13062,175427.7290994919
288,13063,164976.4915153527
289,13064,165552.46280927397
290,13065,216236.4819001374
291,13066,252112.58540527627
292,13067,218963.97569686075
293,13068,220351.8158335579
294,13069,210346.82650228657
295,13070,192042.64580873118
296,13071,193907.6153858774
297,13072,185456.8871812786
298,13073,180762.9212567528
299,13074,189224.31191413008
300,13075,180842.12171128514
301,13076,173730.0544265832
302,13077,175643.9629751171
303,13078,165328.6049007678
304,13079,176551.12656082364
305,13080,196526.1483508146
306,13081,182518.7519205688
307,13082,187799.130760858
308,13083,185181.56325689412
309,13084,184396.8507644853
310,13085,181928.26346450832
311,13086,183402.97041193143
312,13087,173281.70189187612
313,13088,157181.7165162787
314,13089,132548.62061202037
315,13090,152718.17366635153
316,13091,145221.86129892993
317,13092,142463.62295964657
318,13093,146129.8111154199
319,13094,124710.47673302225
320,13095,134713.13023047158
321,13096,138105.25186057604
322,13097,142351.42642519713
323,13098,135264.58420315367
324,13099,136766.47938640407
325,13100,152005.15824251832
326,13101,138977.11186041808
327,13102,135337.06039761106
328,13103,117638.15469039071
329,13104,129776.93866391714
330,13105,137076.44119535797
331,13106,136021.0545306399
332,13107,122804.24388159253
333,13108,122371.45178974076
334,13109,121540.527059091
335,13110,183588.11424772916
336,13111,178596.93297102136
337,13112,172026.593205038
338,13113,159287.2281043947
339,13114,154817.19196838557
340,13115,150452.4160503827
341,13116,154180.56189372318
342,13117,144215.78065116226
343,13118,150238.27709404757
344,13119,165170.70127073815
345,13120,152195.71430900198
346,13121,155066.95560414877
347,13122,153978.37693154023
348,13123,164696.95251637703
349,13124,154055.13589296638
350,13125,154973.33318170658
351,13126,144638.75890474571
352,13127,153283.8046002855
353,13128,148230.7308502902
354,13129,159147.92449953427
355,13130,176269.7095617746
356,13131,205999.46361041997
357,13132,243528.55174786577
358,13133,252212.8453431479
359,13134,271064.5051988128
360,13135,276908.05388632906
361,13136,291420.83153988665
362,13137,317336.0944824647
363,13138,312468.79246597923
364,13139,267877.4588286773
