,index,PNW
0,35405,167986.91875018764
1,35406,266273.953258313
2,35407,279624.02731680276
3,35408,290553.45408438134
4,35409,275220.6793822966
5,35410,276475.12998075073
6,35411,274650.690357968
7,35412,266290.8467471696
8,35413,273555.972086056
9,35414,280449.6298316838
10,35415,267488.202942966
11,35416,260299.68085382026
12,35417,246993.33481986265
13,35418,258198.91194155955
14,35419,258074.14948066915
15,35420,295981.0963313584
16,35421,305128.2152076833
17,35422,303269.3079021569
18,35423,287930.78716720897
19,35424,268753.53854365624
20,35425,265291.8618839152
21,35426,283161.10512082616
22,35427,297844.6501917658
23,35428,329559.91857641854
24,35429,320923.8451829812
25,35430,318207.6495804776
26,35431,328358.48085360776
27,35432,328337.46363315836
28,35433,314859.24357419997
29,35434,318818.24644951953
30,35435,317499.9614608672
31,35436,310892.4370836127
32,35437,286393.1454077031
33,35438,275299.4743631877
34,35439,283143.6875140853
35,35440,279230.1852807259
36,35441,299257.3048490606
37,35442,357348.01304259
38,35443,394793.10157608066
39,35444,428842.5693110699
40,35445,441529.29504467174
41,35446,436626.9093990852
42,35447,433770.77715016744
43,35448,433921.48000503995
44,35449,431266.1654554439
45,35450,428808.1145977482
46,35451,425102.72448421834
47,35452,422533.05379292753
48,35453,415506.2711075405
49,35454,409337.393892834
50,35455,424508.45144383714
51,35456,418961.03497321304
52,35457,425095.86317039316
53,35458,404678.31577490433
54,35459,413997.14921301894
55,35460,387282.42789912876
56,35461,396457.1813151791
57,35462,355360.22285353206
58,35463,369707.9066835679
59,35464,344791.5244199008
60,35465,371743.0606620979
61,35466,304625.3112628782
62,35467,335980.7891023038
63,35468,314981.4678018779
64,35469,309588.36589816585
65,35470,290783.502287143
66,35471,289561.3611833676
67,35472,304666.746285554
68,35473,303729.4095321869
69,35474,316352.8756953319
70,35475,316674.69306210335
71,35476,329985.8934305372
72,35477,335954.400832081
73,35478,340606.57235261396
74,35479,362428.99425533373
75,35480,341132.4967547924
76,35481,355417.38698726654
77,35482,341728.4031742936
78,35483,340450.14315715444
79,35484,327298.1737534205
80,35485,339522.62462212023
81,35486,323586.7405375135
82,35487,328632.78426930046
83,35488,265747.4327476886
84,35489,266737.88201612845
85,35490,274425.1107268272
86,35491,261074.64315322373
87,35492,273448.93918239494
88,35493,324379.5939711067
89,35494,324463.8419575119
90,35495,281693.87449437403
91,35496,222506.60192547512
92,35497,229401.88448369093
93,35498,228931.06830910122
94,35499,235035.23574777585
95,35500,220007.32512498205
96,35501,242671.13528604648
97,35502,260008.75575320964
98,35503,304327.702439809
99,35504,367740.8345275443
100,35505,399797.4715271908
101,35506,400647.91090052493
102,35507,402022.3379102093
103,35508,411216.74254636804
104,35509,390420.0064322442
105,35510,401971.88112222694
106,35511,365601.8798492692
107,35512,399373.9672229273
108,35513,352211.3314674612
109,35514,392536.1023156079
110,35515,331924.93622958567
111,35516,371811.86458712345
112,35517,318966.6325847785
113,35518,415812.97653106414
114,35519,420686.954081704
115,35520,417212.41488530254
116,35521,417107.11859845335
117,35522,413954.14734990185
